"","SSB_MSY_om","TotYield_MSY_om","SSB_Unfished_om","depletion_om","params_on_bound_om","NatM_p_1_Fem_GP_1_om","L_at_Amin_Fem_GP_1_om","L_at_Amax_Fem_GP_1_om","VonBert_K_Fem_GP_1_om","CV_young_Fem_GP_1_om","CV_old_Fem_GP_1_om","Wtlen_1_Fem_om","Wtlen_2_Fem_om","Mat50._Fem_om","Mat_slope_Fem_om","Eggs.kg_inter_Fem_om","Eggs.kg_slope_wt_Fem_om","RecrDist_GP_1_om","RecrDist_Area_1_om","RecrDist_Seas_1_om","CohortGrowDev_om","L_at_Amax_Fem_GP_1_ENV_add_om","SR_LN_R0_om","SR_BH_steep_om","SR_sigmaR_om","SR_envlink_om","SR_R1_offset_om","SR_autocorr_om","InitF_1Fishery_om","LnQ_base_1_Fishery_om","LnQ_base_2_Survey_om","LnQ_base_3_CPUE_om","AgeSel_1P_1_Fishery_om","AgeSel_1P_2_Fishery_om","AgeSel_1P_3_Fishery_om","AgeSel_1P_4_Fishery_om","AgeSel_1P_5_Fishery_om","AgeSel_1P_6_Fishery_om","AgeSel_2P_1_Survey_om","AgeSel_2P_2_Survey_om","AgeSel_2P_3_Survey_om","AgeSel_2P_4_Survey_om","AgeSel_2P_5_Survey_om","AgeSel_2P_6_Survey_om","Catch_endyear_om","NLL_TOTAL_om","NLL_Catch_om","NLL_Equil_catch_om","NLL_Survey_om","NLL_Discard_om","NLL_Mean_body_wt_om","NLL_Length_comp_om","NLL_Age_comp_om","NLL_Size_at_age_om","NLL_SizeFreq_om","NLL_Morphcomp_om","NLL_Tag_comp_om","NLL_Tag_negbin_om","NLL_Recruitment_om","NLL_Forecast_Recruitment_om","NLL_Parm_priors_om","NLL_Parm_softbounds_om","NLL_Parm_devs_om","NLL_Crash_Pen_om","SSB_MSY_em","TotYield_MSY_em","SSB_Unfished_em","depletion_em","params_on_bound_em","NatM_p_1_Fem_GP_1_em","L_at_Amin_Fem_GP_1_em","L_at_Amax_Fem_GP_1_em","VonBert_K_Fem_GP_1_em","CV_young_Fem_GP_1_em","CV_old_Fem_GP_1_em","Wtlen_1_Fem_em","Wtlen_2_Fem_em","Mat50._Fem_em","Mat_slope_Fem_em","Eggs.kg_inter_Fem_em","Eggs.kg_slope_wt_Fem_em","RecrDist_GP_1_em","RecrDist_Area_1_em","RecrDist_Seas_1_em","CohortGrowDev_em","SR_LN_R0_em","SR_BH_steep_em","SR_sigmaR_em","SR_envlink_em","SR_R1_offset_em","SR_autocorr_em","InitF_1Fishery_em","LnQ_base_1_Fishery_em","LnQ_base_2_Survey_em","LnQ_base_3_CPUE_em","AgeSel_1P_1_Fishery_em","AgeSel_1P_2_Fishery_em","AgeSel_1P_3_Fishery_em","AgeSel_1P_4_Fishery_em","AgeSel_1P_5_Fishery_em","AgeSel_1P_6_Fishery_em","AgeSel_2P_1_Survey_em","AgeSel_2P_2_Survey_em","AgeSel_2P_3_Survey_em","AgeSel_2P_4_Survey_em","AgeSel_2P_5_Survey_em","AgeSel_2P_6_Survey_em","Catch_endyear_em","NLL_TOTAL_em","NLL_Catch_em","NLL_Equil_catch_em","NLL_Survey_em","NLL_Discard_em","NLL_Mean_body_wt_em","NLL_Length_comp_em","NLL_Age_comp_em","NLL_Size_at_age_em","NLL_SizeFreq_em","NLL_Morphcomp_em","NLL_Tag_comp_em","NLL_Tag_negbin_em","NLL_Recruitment_em","NLL_Forecast_Recruitment_em","NLL_Parm_priors_em","NLL_Parm_softbounds_em","NLL_Parm_devs_em","NLL_Crash_Pen_em","bias1","bias2","bias3","bias4","bias5","bias.converged","bias.tried","scenario","replicate","D","F","G","X","h","species","max_grad","version","RunTime","hessian","VonBert_K_Fem_GP_1_ENV_add_om","y","SizeSel_1P_1_Fishery_om","SizeSel_1P_2_Fishery_om","SizeSel_1P_3_Fishery_om","SizeSel_1P_4_Fishery_om","SizeSel_1P_5_Fishery_om","SizeSel_1P_6_Fishery_om","SizeSel_2P_1_Survey_om","SizeSel_2P_2_Survey_om","SizeSel_2P_3_Survey_om","SizeSel_2P_4_Survey_om","SizeSel_2P_5_Survey_om","SizeSel_2P_6_Survey_om","SizeSel_1P_1_Fishery_em","SizeSel_1P_2_Fishery_em","SizeSel_1P_3_Fishery_em","SizeSel_1P_4_Fishery_em","SizeSel_1P_5_Fishery_em","SizeSel_1P_6_Fishery_em","SizeSel_2P_1_Survey_em","SizeSel_2P_2_Survey_em","SizeSel_2P_3_Survey_em","SizeSel_2P_4_Survey_em","SizeSel_2P_5_Survey_em","SizeSel_2P_6_Survey_em","ID"
"1",1345690,409867,5007070,0.895232141751563,0,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,1,15,0.82,1.4,0,0,0,0,0,0,0,4.33,-1,1.1,15,-999,999,3.72,-1,1.06,15,-999,999,809205,153651,5.34884e-07,0,1.49604e-10,NA,NA,NA,6150.58,147425,NA,NA,NA,NA,74.9691,0,0,0,0,0,1222010,347879,4585710,0.952897152240329,0,0.210263,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,14.8241,0.82,1.4,0,0,0,0,0,0.0380336,0,4.32799,-1,1.10688,15,-999,999,3.71516,-1,1.06541,15,-999,999,809205,9620740,7.76963e-12,0,9619370,NA,NA,NA,1291.53,NA,NA,NA,NA,NA,75.4177,0,0,0.000889502,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G0-X1-hake-age",5,"D1","F0","G0","X1","hake","age",0.00433945,"#V3.24O",0.0172222222222222,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G0-X1-hake-age-5"
"2",1345690,409867,5007070,0.175221636605839,0,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,1,15,0.82,1.4,0,0,0,0,0,0,0,4.33,-1,1.1,15,-999,999,3.72,-1,1.06,15,-999,999,159363,152945,3.52259e-07,0,2.67825e-10,NA,NA,NA,5591.48,147292,NA,NA,NA,NA,60.9233,0,0,0,0,0,1527940,477562,5673950,0.165831034817015,0,0.232717,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,15.2366,0.82,1.4,0,0,0,0,0,-0.0689612,0,4.32772,-1,1.09329,15,-999,999,3.73474,-1,1.06236,15,-999,999,159363,9484260,1.31491e-12,0,9482980,NA,NA,NA,1206.33,NA,NA,NA,NA,NA,68.9666,0,0,0.000900344,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G0-X1-hake-age",6,"D1","F0","G0","X1","hake","age",0.0927867,"#V3.24O",0.0175,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G0-X1-hake-age-6"
"3",1345690,409867,5007070,0.648497025206358,0,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,1,15,0.82,1.4,0,0,0,0,0,0,0,4.33,-1,1.1,15,-999,999,3.72,-1,1.06,15,-999,999,562708,154019,4.329e-07,0,1.06363e-10,NA,NA,NA,6307.68,147627,NA,NA,NA,NA,83.574,0,0,0,0,0,1103290,307715,4118910,0.724963643293978,0,0.203804,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,14.6569,0.82,1.4,0,0,0,0,0,0.0826589,0,4.32963,-1,1.10766,15,-999,999,3.72257,-1,1.07767,15,-999,999,562708,9458910,1.36007e-11,0,9457510,NA,NA,NA,1321.31,NA,NA,NA,NA,NA,83.5003,0,0,0.000880167,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G0-X1-hake-age",7,"D1","F0","G0","X1","hake","age",0.333549,"#V3.24O",0.0180555555555556,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G0-X1-hake-age-7"
"4",1345690,409867,5007070,0.421406131729734,0,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,1,15,0.82,1.4,0,0,0,0,0,0,0,4.33,-1,1.1,15,-999,999,3.72,-1,1.06,15,-999,999,373131,153357,2.85894e-07,0,1.83464e-10,NA,NA,NA,6066.44,147223,NA,NA,NA,NA,67.4888,0,0,0,0,0,1323400,404244,4921540,0.446927181329421,0,0.225485,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,15.0314,0.82,1.4,0,0,0,0,0,-0.0278804,0,4.33021,-1,1.09682,15,-999,999,3.72577,-1,1.06195,15,-999,999,373131,9705120,2.17053e-12,0,9703780,NA,NA,NA,1264.39,NA,NA,NA,NA,NA,73.0529,0,0,0.000898403,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G0-X1-hake-age",8,"D1","F0","G0","X1","hake","age",0.0236819,"#V3.24O",0.0169444444444444,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G0-X1-hake-age-8"
"5",1345690,409867,5007070,0.379079980906998,0,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,1,15,0.82,1.4,0,0,0,0,0,0,0,4.33,-1,1.1,15,-999,999,3.72,-1,1.06,15,-999,999,342891,153531,5.79325e-07,0,1.51267e-10,NA,NA,NA,6061.03,147398,NA,NA,NA,NA,72.3999,0,0,0,0,0,1214550,331793,4496460,0.401349061261526,0,0.201598,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,14.724,0.82,1.4,0,0,0,0,0,0.0890973,0,4.32364,-1,1.10243,15,-999,999,3.73289,-1,1.07844,15,-999,999,342891,9581520,1.68233e-11,0,9580200,NA,NA,NA,1251.73,NA,NA,NA,NA,NA,74.1059,0,0,0.000883038,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G0-X1-hake-age",9,"D1","F0","G0","X1","hake","age",0.0150775,"#V3.24O",0.0216666666666667,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G0-X1-hake-age-9"
"6",1345690,409867,5007070,0.490166903997747,0,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,1,15,0.82,1.4,0,0,0,0,0,0,0,4.33,-1,1.1,15,-999,999,3.72,-1,1.06,15,-999,999,465464,153107,8.79479e-07,0,1.06109e-10,NA,NA,NA,5776.34,147245,NA,NA,NA,NA,85.5336,0,0,0,0,0,957718,279057,3572330,0.6949917840737,0,0.214194,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,14.6102,0.82,1.4,0,0,0,0,0,0.0294858,0,4.33161,-1,1.10537,15,-999,999,3.71864,-1,1.05937,15,-999,999,465464,9242530,6.40926e-12,0,9241270,NA,NA,NA,1181.26,NA,NA,NA,NA,NA,74.4028,0,0,0.000894581,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G0-X1-hake-age",10,"D1","F0","G0","X1","hake","age",0.0801402,"#V3.24O",0.0191666666666667,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G0-X1-hake-age-10"
"7",1206930,373551,5007070,0.70016596532503,NA,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,1,15,0.82,1.4,0,0,0,0,0,0,0,4.33,-1,1.1,15,-999,999,3.72,-1,1.06,15,-999,999,653342,270458,101181,0,26.8408,NA,NA,NA,6098.53,163076,NA,NA,NA,NA,74.9691,0,0,0,0,0,51564700,28141000,210351000,3.74099005947203,2,0.387993,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,20,0.82,1.4,0,0,0,0,0,20,0,4.32075,-1,1.00375,15,-999,999,3.78647,-1,0.981419,15,-999,999,653342,10414400,7.53353e-19,0,10413000,NA,NA,NA,1298.45,NA,NA,NA,NA,NA,87.3992,0,0,0.00102497,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G1-X1-hake-age",5,"D1","F0","G1","X1","hake","age",0.0216737,"#V3.24O",0.0286111111111111,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G1-X1-hake-age-5"
"8",1206930,373551,5007070,0.131134575709946,NA,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,1,15,0.82,1.4,0,0,0,0,0,0,0,4.33,-1,1.1,15,-999,999,3.72,-1,1.06,15,-999,999,123356,265939,97380.6,0,25.5654,NA,NA,NA,5538.41,162933,NA,NA,NA,NA,60.9233,0,0,0,0,0,51839900,28209000,211965000,0.582360295331776,2,0.386818,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,20,0.82,1.4,0,0,0,0,0,20,0,4.32573,-1,1.00944,15,-999,999,3.78018,-1,0.979291,15,-999,999,123356,10274800,8.64468e-19,0,10273500,NA,NA,NA,1244.41,NA,NA,NA,NA,NA,83.4871,0,0,0.00102226,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G1-X1-hake-age",6,"D1","F0","G1","X1","hake","age",0.0769923,"#V3.24O",0.0322222222222222,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G1-X1-hake-age-6"
"9",1206930,373551,5007070,0.546760880115517,NA,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,1,15,0.82,1.4,0,0,0,0,0,0,0,4.33,-1,1.1,15,-999,999,3.72,-1,1.06,15,-999,999,487263,265493,94218.1,0,24.727,NA,NA,NA,6289.06,164878,NA,NA,NA,NA,83.574,0,0,0,0,0,49732100,27535500,202543000,2.36798605728166,2,0.39383,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,20,0.82,1.4,0,0,0,0,0,20,0,4.33221,-1,1.01119,15,-999,999,3.79419,-1,0.991799,15,-999,999,487263,10268800,1.29469e-18,0,10267400,NA,NA,NA,1314.56,NA,NA,NA,NA,NA,102.738,0,0,0.00101069,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G1-X1-hake-age",7,"D1","F0","G1","X1","hake","age",0.120608,"#V3.24O",0.0236111111111111,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G1-X1-hake-age-7"
"10",1206930,373551,5007070,0.339346164523364,NA,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,1,15,0.82,1.4,0,0,0,0,0,0,0,4.33,-1,1.1,15,-999,999,3.72,-1,1.06,15,-999,999,308531,256890,87975.7,0,23.0008,NA,NA,NA,6029.2,162794,NA,NA,NA,NA,67.4888,0,0,0,0,0,47764800,27040600,195437000,1.00696899768212,3,0.399384,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,20,0.82,1.4,0,0,0,0,0,20,0,4.33233,-1,1.014,15,-999,999,3.80251,-1,0.995416,15,-999,999,308531,10537300,6.85437e-19,0,10536000,NA,NA,NA,1242.02,NA,NA,NA,NA,NA,88.3128,0,0,0.00100559,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G1-X1-hake-age",8,"D1","F0","G1","X1","hake","age",0.0099787,"#V3.24O",0.0222222222222222,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G1-X1-hake-age-8"
"11",1206930,373551,5007070,0.279588661632452,NA,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,1,15,0.82,1.4,0,0,0,0,0,0,0,4.33,-1,1.1,15,-999,999,3.72,-1,1.06,15,-999,999,260092,256532,87276.2,0,22.7239,NA,NA,NA,6015.54,163145,NA,NA,NA,NA,72.3999,0,0,0,0,0,27818700,14894800,112263000,1.50121589481842,1,0.385775,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,19.3576,0.82,1.4,0,0,0,0,0,20,0,4.3283,-1,1.01334,15,-999,999,3.79641,-1,0.991382,15,-999,999,260092,10388700,3.49345e-18,0,10387400,NA,NA,NA,1245.95,NA,NA,NA,NA,NA,89.6404,0,0,0.00100943,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G1-X1-hake-age",9,"D1","F0","G1","X1","hake","age",0.0194705,"#V3.24O",0.0208333333333333,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G1-X1-hake-age-9"
"12",1206930,373551,5007070,0.339134463868091,NA,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,1,15,0.82,1.4,0,0,0,0,0,0,0,4.33,-1,1.1,15,-999,999,3.72,-1,1.06,15,-999,999,331065,287684,119112,0,32.0371,NA,NA,NA,5682.73,162771,NA,NA,NA,NA,85.5336,0,0,0,0,0,26600700,14100300,108123000,3.03447000175726,1,0.380418,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,19.285,0.82,1.4,0,0,0,0,0,20,0,4.32197,-1,1.00845,15,-999,999,3.77633,-1,0.98339,15,-999,999,331065,9925760,3.04022e-18,0,9924420,NA,NA,NA,1245.45,NA,NA,NA,NA,NA,88.0249,0,0,0.00101997,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G1-X1-hake-age",10,"D1","F0","G1","X1","hake","age",0.0396841,"#V3.24O",0.0208333333333333,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G1-X1-hake-age-10"
"13",1797520,587319,5007070,1.29625709247125,0,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,1,15,0.82,1.4,0,0,0,0,0,0,0,4.33,-1,1.1,15,-999,999,3.72,-1,1.06,15,-999,999,1158930,277282,80182.7,0,18.5106,NA,NA,NA,6175.03,190831,NA,NA,NA,NA,74.9691,0,0,0,0,0,4079390,1466620,11711100,2.27531999555977,1,0.335378,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,16.7563,0.82,1.4,0,0,0,0,0,20,0,4.32028,-1,1.03955,15,-999,999,3.75963,-1,1.01087,15,-999,999,1158930,11101500,2.27512e-16,0,11100100,NA,NA,NA,1261.67,NA,NA,NA,NA,NA,82.1745,0,0,0.000975787,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G2-X1-hake-age",5,"D1","F0","G2","X1","hake","age",0.0213665,"#V3.24O",0.0188888888888889,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G2-X1-hake-age-5"
"14",1797520,587319,5007070,0.258512463376785,0,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,1,15,0.82,1.4,0,0,0,0,0,0,0,4.33,-1,1.1,15,-999,999,3.72,-1,1.06,15,-999,999,232823,277862,81488.9,0,18.804,NA,NA,NA,5615.05,190678,NA,NA,NA,NA,60.9233,0,0,0,0,0,6299670,2327680,18003700,0.498890228119775,1,0.348376,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,17.2768,0.82,1.4,0,0,0,0,0,20,0,4.32281,-1,1.03243,15,-999,999,3.76137,-1,1.0035,15,-999,999,232823,10947800,1.11251e-16,0,10946500,NA,NA,NA,1205.63,NA,NA,NA,NA,NA,77.2402,0,0,0.000986556,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G2-X1-hake-age",6,"D1","F0","G2","X1","hake","age",0.00955008,"#V3.24O",0.02,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G2-X1-hake-age-6"
"15",1797420,587316,5007070,0.916014755136237,0,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,1,15,0.82,1.4,0,0,0,0,0,0,0,4.33,-1,1.1,15,-999,999,3.72,-1,1.06,15,-999,999,787554,287928,90653.5,0,20.8445,NA,NA,NA,6325.08,190845,NA,NA,NA,NA,83.574,0,0,0,0,0,4572840,1683820,13159700,2.46984353746666,1,0.343651,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,16.9307,0.82,1.4,0,0,0,0,0,20,0,4.32812,-1,1.03727,15,-999,999,3.76362,-1,1.0069,15,-999,999,787554,10938900,2.96044e-16,0,10937500,NA,NA,NA,1307.22,NA,NA,NA,NA,NA,92.6871,0,0,0.000980184,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G2-X1-hake-age",7,"D1","F0","G2","X1","hake","age",0.0287818,"#V3.24O",0.0222222222222222,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G2-X1-hake-age-7"
"16",1797460,587317,5007070,0.609130689205463,0,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,1,15,0.82,1.4,0,0,0,0,0,0,0,4.33,-1,1.1,15,-999,999,3.72,-1,1.06,15,-999,999,534604,274105,77281.2,0,17.8437,NA,NA,NA,6086.21,190652,NA,NA,NA,NA,67.4888,0,0,0,0,0,13544300,5583740,39238000,1.66122891074978,1,0.380137,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,18.2695,0.82,1.4,0,0,0,0,0,20,0,4.33808,-1,1.02699,15,-999,999,3.7846,-1,0.99443,15,-999,999,534604,11195500,1.74335e-17,0,11194100,NA,NA,NA,1258.57,NA,NA,NA,NA,NA,86.2043,0,0,0.000996702,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G2-X1-hake-age",8,"D1","F0","G2","X1","hake","age",0.0202752,"#V3.24O",0.0241666666666667,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G2-X1-hake-age-8"
"17",1797520,587319,5007070,0.576648618852942,0,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,1,15,0.82,1.4,0,0,0,0,0,0,0,4.33,-1,1.1,15,-999,999,3.72,-1,1.06,15,-999,999,516674,274678,77631.8,0,17.9444,NA,NA,NA,6090.07,190866,NA,NA,NA,NA,72.3999,0,0,0,0,0,3911730,1380170,11199200,1.12815201085792,1,0.32983,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,16.6724,0.82,1.4,0,0,0,0,0,20,0,4.33199,-1,1.0471,15,-999,999,3.75228,-1,1.01113,15,-999,999,516674,11043700,3.15465e-16,0,11042400,NA,NA,NA,1252.68,NA,NA,NA,NA,NA,82.577,0,0,0.000969923,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G2-X1-hake-age",9,"D1","F0","G2","X1","hake","age",0.0275743,"#V3.24O",0.0175,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G2-X1-hake-age-9"
"18",1797430,587316,5007070,0.750061413161789,0,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,1,15,0.82,1.4,0,0,0,0,0,0,0,4.33,-1,1.1,15,-999,999,3.72,-1,1.06,15,-999,999,707055,290864,94271,0,21.6911,NA,NA,NA,5811,190674,NA,NA,NA,NA,85.5336,0,0,0,0,0,3257880,1153980,9333700,1.73063201088529,1,0.333237,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,16.5143,0.82,1.4,0,0,0,0,0,20,0,4.30846,-1,1.03304,15,-999,999,3.76677,-1,1.02278,15,-999,999,707055,10649300,4.09737e-16,0,10647900,NA,NA,NA,1252.73,NA,NA,NA,NA,NA,81.1657,0,0,0.000971843,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G2-X1-hake-age",10,"D1","F0","G2","X1","hake","age",0.0149103,"#V3.24O",0.0186111111111111,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G2-X1-hake-age-10"
"19",1288730,399960,5007070,0.869626348343442,0,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,1,15,0.82,1.4,0,0,0,0,0,0,0,4.33,-1,1.1,15,-999,999,3.72,-1,1.06,15,-999,999,789144,163112,6966.03,0,1.70234,NA,NA,NA,6165.94,149903,NA,NA,NA,NA,74.9691,0,0,0,0,0,2572270,1206280,9818670,1.72326801898832,1,0.349393,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,16.6775,0.82,1.4,0,0,0,0,0,20,0,4.32624,-1,1.03329,15,-999,999,3.76485,-1,1.00315,15,-999,999,789144,10670900,3.86663e-16,0,10669600,NA,NA,NA,1241.23,NA,NA,NA,NA,NA,84.2893,0,0,0.000986017,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G3-X1-hake-age",5,"D1","F0","G3","X1","hake","age",0.0460667,"#V3.24O",0.0183333333333333,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G3-X1-hake-age-5"
