"","SSB_MSY_om","TotYield_MSY_om","SSB_Unfished_om","depletion_om","params_on_bound_om","NatM_p_1_Fem_GP_1_om","L_at_Amin_Fem_GP_1_om","L_at_Amax_Fem_GP_1_om","VonBert_K_Fem_GP_1_om","CV_young_Fem_GP_1_om","CV_old_Fem_GP_1_om","Wtlen_1_Fem_om","Wtlen_2_Fem_om","Mat50._Fem_om","Mat_slope_Fem_om","Eggs.kg_inter_Fem_om","Eggs.kg_slope_wt_Fem_om","RecrDist_GP_1_om","RecrDist_Area_1_om","RecrDist_Seas_1_om","CohortGrowDev_om","L_at_Amax_Fem_GP_1_ENV_add_om","SR_LN_R0_om","SR_BH_steep_om","SR_sigmaR_om","SR_envlink_om","SR_R1_offset_om","SR_autocorr_om","InitF_1Fishery_om","LnQ_base_1_Fishery_om","LnQ_base_2_Survey_om","LnQ_base_3_CPUE_om","AgeSel_1P_1_Fishery_om","AgeSel_1P_2_Fishery_om","AgeSel_1P_3_Fishery_om","AgeSel_1P_4_Fishery_om","AgeSel_1P_5_Fishery_om","AgeSel_1P_6_Fishery_om","AgeSel_2P_1_Survey_om","AgeSel_2P_2_Survey_om","AgeSel_2P_3_Survey_om","AgeSel_2P_4_Survey_om","AgeSel_2P_5_Survey_om","AgeSel_2P_6_Survey_om","Catch_endyear_om","NLL_TOTAL_om","NLL_Catch_om","NLL_Equil_catch_om","NLL_Survey_om","NLL_Discard_om","NLL_Mean_body_wt_om","NLL_Length_comp_om","NLL_Age_comp_om","NLL_Size_at_age_om","NLL_SizeFreq_om","NLL_Morphcomp_om","NLL_Tag_comp_om","NLL_Tag_negbin_om","NLL_Recruitment_om","NLL_Forecast_Recruitment_om","NLL_Parm_priors_om","NLL_Parm_softbounds_om","NLL_Parm_devs_om","NLL_Crash_Pen_om","SSB_MSY_em","TotYield_MSY_em","SSB_Unfished_em","depletion_em","params_on_bound_em","NatM_p_1_Fem_GP_1_em","L_at_Amin_Fem_GP_1_em","L_at_Amax_Fem_GP_1_em","VonBert_K_Fem_GP_1_em","CV_young_Fem_GP_1_em","CV_old_Fem_GP_1_em","Wtlen_1_Fem_em","Wtlen_2_Fem_em","Mat50._Fem_em","Mat_slope_Fem_em","Eggs.kg_inter_Fem_em","Eggs.kg_slope_wt_Fem_em","RecrDist_GP_1_em","RecrDist_Area_1_em","RecrDist_Seas_1_em","CohortGrowDev_em","SR_LN_R0_em","SR_BH_steep_em","SR_sigmaR_em","SR_envlink_em","SR_R1_offset_em","SR_autocorr_em","InitF_1Fishery_em","LnQ_base_1_Fishery_em","LnQ_base_2_Survey_em","LnQ_base_3_CPUE_em","AgeSel_1P_1_Fishery_em","AgeSel_1P_2_Fishery_em","AgeSel_1P_3_Fishery_em","AgeSel_1P_4_Fishery_em","AgeSel_1P_5_Fishery_em","AgeSel_1P_6_Fishery_em","AgeSel_2P_1_Survey_em","AgeSel_2P_2_Survey_em","AgeSel_2P_3_Survey_em","AgeSel_2P_4_Survey_em","AgeSel_2P_5_Survey_em","AgeSel_2P_6_Survey_em","Catch_endyear_em","NLL_TOTAL_em","NLL_Catch_em","NLL_Equil_catch_em","NLL_Survey_em","NLL_Discard_em","NLL_Mean_body_wt_em","NLL_Length_comp_em","NLL_Age_comp_em","NLL_Size_at_age_em","NLL_SizeFreq_em","NLL_Morphcomp_em","NLL_Tag_comp_em","NLL_Tag_negbin_em","NLL_Recruitment_em","NLL_Forecast_Recruitment_em","NLL_Parm_priors_em","NLL_Parm_softbounds_em","NLL_Parm_devs_em","NLL_Crash_Pen_em","bias1","bias2","bias3","bias4","bias5","bias.converged","bias.tried","scenario","replicate","D","F","G","X","h","species","max_grad","version","RunTime","hessian","VonBert_K_Fem_GP_1_ENV_add_om","y","SizeSel_1P_1_Fishery_om","SizeSel_1P_2_Fishery_om","SizeSel_1P_3_Fishery_om","SizeSel_1P_4_Fishery_om","SizeSel_1P_5_Fishery_om","SizeSel_1P_6_Fishery_om","SizeSel_2P_1_Survey_om","SizeSel_2P_2_Survey_om","SizeSel_2P_3_Survey_om","SizeSel_2P_4_Survey_om","SizeSel_2P_5_Survey_om","SizeSel_2P_6_Survey_om","SizeSel_1P_1_Fishery_em","SizeSel_1P_2_Fishery_em","SizeSel_1P_3_Fishery_em","SizeSel_1P_4_Fishery_em","SizeSel_1P_5_Fishery_em","SizeSel_1P_6_Fishery_em","SizeSel_2P_1_Survey_em","SizeSel_2P_2_Survey_em","SizeSel_2P_3_Survey_em","SizeSel_2P_4_Survey_em","SizeSel_2P_5_Survey_em","SizeSel_2P_6_Survey_em","ID"
"1",1345690,409867,5007070,0.145883520701728,0,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,1,15,0.82,1.4,0,0,0,0,0,0,0,4.33,-1,1.1,15,-999,999,3.72,-1,1.06,15,-999,999,133542,153575,6.85233e-07,0,1.52577e-10,NA,NA,NA,6036.51,147445,NA,NA,NA,NA,93.0723,0,0,0,0,0,1102220,375471,4097080,0.223629999902369,0,0.255636,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,15.1035,0.82,1.4,0,0,0,0,0,-0.203292,0,4.32605,-1,1.07958,15,-999,999,3.72979,-1,1.0437,15,-999,999,133542,9391210,1.94266e-13,0,9389880,NA,NA,NA,1254.93,NA,NA,NA,NA,NA,79.5493,0,0,0.000923373,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G0-X1-hake-age",1,"D1","F0","G0","X1","hake","age",0.0755776,"#V3.24O",0.0211111111111111,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G0-X1-hake-age-1"
"2",1345690,409867,5007070,0.275106998703833,0,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,1,15,0.82,1.4,0,0,0,0,0,0,0,4.33,-1,1.1,15,-999,999,3.72,-1,1.06,15,-999,999,233686,153427,6.45738e-07,0,2.09123e-10,NA,NA,NA,5840.93,147509,NA,NA,NA,NA,77.0287,0,0,0,0,0,1367410,431323,5092310,0.301004848487229,0,0.234434,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,15.1433,0.82,1.4,0,0,0,0,0,-0.0806942,0,4.33685,-1,1.1018,15,-999,999,3.73073,-1,1.06284,15,-999,999,233686,9458870,1.2371e-12,0,9457460,NA,NA,NA,1333.82,NA,NA,NA,NA,NA,83.4025,0,0,0.000894071,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G0-X1-hake-age",2,"D1","F0","G0","X1","hake","age",0.0186941,"#V3.24O",0.0294444444444444,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G0-X1-hake-age-2"
"3",1345690,409867,5007070,0.152649553531307,0,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,1,15,0.82,1.4,0,0,0,0,0,0,0,4.33,-1,1.1,15,-999,999,3.72,-1,1.06,15,-999,999,139310,153781,7.83104e-07,0,1.07382e-10,NA,NA,NA,5965.07,147735,NA,NA,NA,NA,80.0354,0,0,0,0,0,1355420,414231,5034330,0.164719436350021,0,0.2269,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,15.0664,0.82,1.4,0,0,0,0,0,-0.0336507,0,4.32407,-1,1.09485,15,-999,999,3.74033,-1,1.07003,15,-999,999,139310,9424660,2.35224e-12,0,9423360,NA,NA,NA,1216.46,NA,NA,NA,NA,NA,84.4384,0,0,0.000893833,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G0-X1-hake-age",3,"D1","F0","G0","X1","hake","age",0.0162166,"#V3.24O",0.0183333333333333,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G0-X1-hake-age-3"
"4",1345690,409867,5007070,0.12957178549531,0,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,1,15,0.82,1.4,0,0,0,0,0,0,0,4.33,-1,1.1,15,-999,999,3.72,-1,1.06,15,-999,999,136304,153066,6.51152e-07,0,2.04911e-10,NA,NA,NA,5637.38,147353,NA,NA,NA,NA,75.6709,0,0,0,0,0,1403570,415069,5223170,0.130721381842827,0,0.217363,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,15.0186,0.82,1.4,0,0,0,0,0,0.00087529,0,4.34003,-1,1.11033,15,-999,999,3.72112,-1,1.05851,15,-999,999,136304,9381040,4.71074e-12,0,9379710,NA,NA,NA,1251.67,NA,NA,NA,NA,NA,79.1176,0,0,0.000891562,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G0-X1-hake-age",4,"D1","F0","G0","X1","hake","age",0.041858,"#V3.24O",0.0183333333333333,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G0-X1-hake-age-4"
"5",1206930,373551,5007070,0.10531168927137,NA,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,1,15,0.82,1.4,0,0,0,0,0,0,0,4.33,-1,1.1,15,-999,999,3.72,-1,1.06,15,-999,999,99758.1,266232,96987.5,0,25.2835,NA,NA,NA,5980.12,163145,NA,NA,NA,NA,93.0723,0,0,0,0,0,19614200,10819000,80037800,0.519735674893613,1,0.391586,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,19.057,0.82,1.4,0,0,0,0,0,20,0,4.31705,-1,1.004,15,-999,999,3.78644,-1,0.989318,15,-999,999,99758.1,10146700,5.81451e-18,0,10145300,NA,NA,NA,1252.83,NA,NA,NA,NA,NA,86.2601,0,0,0.0010187,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G1-X1-hake-age",1,"D1","F0","G1","X1","hake","age",0.00877546,"#V3.24O",0.0233333333333333,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G1-X1-hake-age-1"
"6",1206930,373551,5007070,0.198789911065753,NA,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,1,15,0.82,1.4,0,0,0,0,0,0,0,4.33,-1,1.1,15,-999,999,3.72,-1,1.06,15,-999,999,173799,268294,99312.9,0,26.1894,NA,NA,NA,5777.75,163099,NA,NA,NA,NA,77.0287,0,0,0,0,0,51996200,28256600,211719000,1.0145003518815,2,0.386997,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,20,0.82,1.4,0,0,0,0,0,20,0,4.3247,-1,1.00943,15,-999,999,3.79036,-1,0.987548,15,-999,999,173799,10237800,7.37723e-19,0,10236400,NA,NA,NA,1281,NA,NA,NA,NA,NA,87.9448,0,0,0.00101561,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G1-X1-hake-age",2,"D1","F0","G1","X1","hake","age",0.014498,"#V3.24O",0.0275,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G1-X1-hake-age-2"
"7",1206930,373551,5007070,0.0973187912292019,NA,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,1,15,0.82,1.4,0,0,0,0,0,0,0,4.33,-1,1.1,15,-999,999,3.72,-1,1.06,15,-999,999,91898.4,273392,104092,0,27.5783,NA,NA,NA,5885.74,163306,NA,NA,NA,NA,80.0354,0,0,0,0,0,57614900,30117200,235346000,0.951802877465519,2,0.370934,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,20,0.82,1.4,0,0,0,0,0,20,0,4.31581,-1,1.00124,15,-999,999,3.77999,-1,0.980865,15,-999,999,91898.4,10210000,5.02842e-19,0,10208600,NA,NA,NA,1247.99,NA,NA,NA,NA,NA,94.2457,0,0,0.00102761,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G1-X1-hake-age",3,"D1","F0","G1","X1","hake","age",0.0498416,"#V3.24O",0.0316666666666667,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G1-X1-hake-age-3"
"8",1206930,373551,5007070,0.0962457085680847,NA,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,1,15,0.82,1.4,0,0,0,0,0,0,0,4.33,-1,1.1,15,-999,999,3.72,-1,1.06,15,-999,999,105194,260157,91696.5,0,23.8196,NA,NA,NA,5586.37,162774,NA,NA,NA,NA,75.6709,0,0,0,0,0,35420500,18864900,143812000,0.5793522098295,1,0.381626,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,19.5781,0.82,1.4,0,0,0,0,0,20,0,4.32489,-1,1.00992,15,-999,999,3.78931,-1,0.986245,15,-999,999,105194,10185900,2.2986e-18,0,10184700,NA,NA,NA,1148.44,NA,NA,NA,NA,NA,86.376,0,0,0.00101626,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G1-X1-hake-age",4,"D1","F0","G1","X1","hake","age",0.0209483,"#V3.24O",0.0280555555555556,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G1-X1-hake-age-4"
"9",1797470,587317,5007070,0.220482238115305,0,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,1,15,0.82,1.4,0,0,0,0,0,0,0,4.33,-1,1.1,15,-999,999,3.72,-1,1.06,15,-999,999,199653,279668,82612.6,0,19.0656,NA,NA,NA,6072.29,190871,NA,NA,NA,NA,93.0723,0,0,0,0,0,3679140,1339350,10500800,0.463602773122048,1,0.341613,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,16.6908,0.82,1.4,0,0,0,0,0,20,0,4.32417,-1,1.03937,15,-999,999,3.75921,-1,1.00941,15,-999,999,199653,10813100,3.077e-16,0,10811700,NA,NA,NA,1256.83,NA,NA,NA,NA,NA,82.4821,0,0,0.000976933,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G2-X1-hake-age",1,"D1","F0","G2","X1","hake","age",0.151474,"#V3.24O",0.0291666666666667,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G2-X1-hake-age-1"
"10",1797510,587319,5007070,0.408949745060484,0,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,1,15,0.82,1.4,0,0,0,0,0,0,0,4.33,-1,1.1,15,-999,999,3.72,-1,1.06,15,-999,999,343941,280245,83384,0,19.2376,NA,NA,NA,5868.48,190896,NA,NA,NA,NA,77.0287,0,0,0,0,0,12663700,5096650,36580500,1.32596328645043,1,0.374651,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,18.1632,0.82,1.4,0,0,0,0,0,20,0,4.31519,-1,1.01294,15,-999,999,3.78142,-1,0.995739,15,-999,999,343941,10922200,2.6277e-17,0,10920800,NA,NA,NA,1275.42,NA,NA,NA,NA,NA,91.0541,0,0,0.00100699,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G2-X1-hake-age",2,"D1","F0","G2","X1","hake","age",0.0675534,"#V3.24O",0.0286111111111111,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G2-X1-hake-age-2"
"11",1797420,587316,5007070,0.241690249986519,0,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,1,15,0.82,1.4,0,0,0,0,0,0,0,4.33,-1,1.1,15,-999,999,3.72,-1,1.06,15,-999,999,218118,280220,82945.1,0,19.1418,NA,NA,NA,6004.9,191171,NA,NA,NA,NA,80.0354,0,0,0,0,0,78316500,31846800,226152000,1.62001220418126,2,0.376942,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,20,0.82,1.4,0,0,0,0,0,20,0,4.32301,-1,1.00704,15,-999,999,3.79461,-1,0.993581,15,-999,999,218118,10897100,5.28403e-19,0,10895700,NA,NA,NA,1283.34,NA,NA,NA,NA,NA,93.3618,0,0,0.00101273,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G2-X1-hake-age",3,"D1","F0","G2","X1","hake","age",0.010496,"#V3.24O",0.0327777777777778,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G2-X1-hake-age-3"
"12",1797530,587319,5007070,0.195271486118628,0,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,1,15,0.82,1.4,0,0,0,0,0,0,0,4.33,-1,1.1,15,-999,999,3.72,-1,1.06,15,-999,999,203807,278206,81647.5,0,18.8532,NA,NA,NA,5661.92,190802,NA,NA,NA,NA,75.6709,0,0,0,0,0,4924250,1754010,13981800,0.378495615729019,1,0.335684,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,16.9357,0.82,1.4,0,0,0,0,0,20,0,4.32293,-1,1.03808,15,-999,999,3.75662,-1,1.00822,15,-999,999,203807,10847000,2.28242e-16,0,10845600,NA,NA,NA,1275.98,NA,NA,NA,NA,NA,83.3936,0,0,0.000978881,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G2-X1-hake-age",4,"D1","F0","G2","X1","hake","age",0.00798289,"#V3.24O",0.0327777777777778,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G2-X1-hake-age-4"
"13",1690460,518177,5007070,0.179986099655088,0,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,1,15,0.82,1.4,0,0,0,0,0,0,0,4.33,-1,1.1,15,-999,999,3.72,-1,1.06,15,-999,999,160779,165622,8048.73,0,1.94452,NA,NA,NA,6038.24,151439,NA,NA,NA,NA,93.0723,0,0,0,0,0,2487480,958227,7656370,0.464354517872046,1,0.340128,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,16.3646,0.82,1.4,0,0,0,0,0,20,0,4.32756,-1,1.03939,15,-999,999,3.75771,-1,1.0033,15,-999,999,160779,10408700,6.74814e-16,0,10407400,NA,NA,NA,1244.82,NA,NA,NA,NA,NA,82.6559,0,0,0.000981513,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G3-X1-hake-age",1,"D1","F0","G3","X1","hake","age",0.0237347,"#V3.24O",0.04,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G3-X1-hake-age-1"
"14",1690480,518178,5007070,0.344812435216604,0,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,1,15,0.82,1.4,0,0,0,0,0,0,0,4.33,-1,1.1,15,-999,999,3.72,-1,1.06,15,-999,999,284620,165388,7970.07,0,1.91262,NA,NA,NA,5842.86,151496,NA,NA,NA,NA,77.0287,0,0,0,0,0,17378700,7617570,54084800,1.47406480194066,1,0.381813,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,18.6014,0.82,1.4,0,0,0,0,0,20,0,4.3324,-1,1.01694,15,-999,999,3.78326,-1,0.98872,15,-999,999,284620,10522600,1.29094e-17,0,10521300,NA,NA,NA,1225.28,NA,NA,NA,NA,NA,93.3155,0,0,0.0010089,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G3-X1-hake-age",2,"D1","F0","G3","X1","hake","age",0.0259363,"#V3.24O",0.0330555555555556,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G3-X1-hake-age-2"
"15",1690440,518177,5007070,0.192628623126899,0,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,1,15,0.82,1.4,0,0,0,0,0,0,0,4.33,-1,1.1,15,-999,999,3.72,-1,1.06,15,-999,999,170945,165974,8224.65,0,1.9716,NA,NA,NA,5968.1,151699,NA,NA,NA,NA,80.0354,0,0,0,0,0,73157100,31522300,228985000,1.43329039020023,2,0.37506,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,20,0.82,1.4,0,0,0,0,0,20,0,4.30655,-1,0.998344,15,-999,999,3.78527,-1,0.985321,15,-999,999,170945,10500300,5.48589e-19,0,10499000,NA,NA,NA,1227.88,NA,NA,NA,NA,NA,95.0211,0,0,0.00102652,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G3-X1-hake-age",3,"D1","F0","G3","X1","hake","age",0.0231302,"#V3.24O",0.0269444444444444,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G3-X1-hake-age-3"
"16",1690500,518178,5007070,0.160985566409098,0,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,1,15,0.82,1.4,0,0,0,0,0,0,0,4.33,-1,1.1,15,-999,999,3.72,-1,1.06,15,-999,999,164893,164501,7407.32,0,1.77203,NA,NA,NA,5638.31,151378,NA,NA,NA,NA,75.6709,0,0,0,0,0,4293320,1755460,13264400,0.226680437863756,1,0.362349,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,17.0665,0.82,1.4,0,0,0,0,0,20,0,4.31942,-1,1.03008,15,-999,999,3.77305,-1,1.01145,15,-999,999,164893,10448000,3.3345e-16,0,10446600,NA,NA,NA,1244.03,NA,NA,NA,NA,NA,89.1668,0,0,0.000982099,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G3-X1-hake-age",4,"D1","F0","G3","X1","hake","age",0.00851575,"#V3.24O",0.0277777777777778,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G3-X1-hake-age-4"
"17",1305060,394124,5007070,0.134380785569205,NA,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,NA,15,0.82,1.4,0,0,0,0,0,0,0,4.33,-1,1.1,15,-999,999,3.72,-1,1.06,15,-999,999,124112,163330,9126.08,0,2.36388,NA,NA,NA,6028.05,148080,NA,NA,NA,NA,93.0723,0,0,0,0,0,51079300,27527900,199308000,0.595866698777771,2,0.396329,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,20,0.82,1.4,0,0,0,0,0,20,0,4.33058,-1,1.0141,15,-999,999,3.7778,-1,0.978527,15,-999,999,124112,10287400,9.32016e-19,0,10286000,NA,NA,NA,1290.6,NA,NA,NA,NA,NA,85.6623,0,0,0.00101921,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G4-X1-hake-age",1,"D1","F0","G4","X1","hake","age",0.0185576,"#V3.24O",0.0355555555555556,FALSE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G4-X1-hake-age-1"
"18",1305060,394124,5007070,0.253259890514812,NA,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,NA,15,0.82,1.4,0,0,0,0,0,0,0,4.33,-1,1.1,15,-999,999,3.72,-1,1.06,15,-999,999,216767,162470,8483.21,0,2.20141,NA,NA,NA,5826.74,148080,NA,NA,NA,NA,77.0287,0,0,0,0,0,1252560,409332,4829860,0.237826769305943,1,0.236366,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,15.1069,0.82,1.4,0,0,0,0,0,20,0,4.32808,-1,1.09145,15,-999,999,3.72957,-1,1.0614,15,-999,999,216767,10383200,2.35634e-12,0,10381900,NA,NA,NA,1243.2,NA,NA,NA,NA,NA,84.7062,0,0,0.000902428,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G4-X1-hake-age",2,"D1","F0","G4","X1","hake","age",0.0281868,"#V3.24O",0.0341666666666667,FALSE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G4-X1-hake-age-2"
"19",1305060,394124,5007070,0.134983133848738,NA,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,NA,15,0.82,1.4,0,0,0,0,0,0,0,4.33,-1,1.1,15,-999,999,3.72,-1,1.06,15,-999,999,124457,163222,8918.46,0,2.31422,NA,NA,NA,5944.91,148276,NA,NA,NA,NA,80.0354,0,0,0,0,0,58053800,29809100,227765000,1.06096634689263,2,0.375866,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,20,0.82,1.4,0,0,0,0,0,20,0,4.32332,-1,1.00569,15,-999,999,3.79206,-1,0.988331,15,-999,999,124457,10358600,5.48558e-19,0,10357200,NA,NA,NA,1282.06,NA,NA,NA,NA,NA,94.8383,0,0,0.00101788,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G4-X1-hake-age",3,"D1","F0","G4","X1","hake","age",0.0306077,"#V3.24O",0.0322222222222222,FALSE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G4-X1-hake-age-3"
