"SSB_MSY_om","TotYield_MSY_om","SSB_Unfished_om","depletion_om","params_on_bound_om","NatM_p_1_Fem_GP_1_om","L_at_Amin_Fem_GP_1_om","L_at_Amax_Fem_GP_1_om","VonBert_K_Fem_GP_1_om","CV_young_Fem_GP_1_om","CV_old_Fem_GP_1_om","Wtlen_1_Fem_om","Wtlen_2_Fem_om","Mat50%_Fem_om","Mat_slope_Fem_om","Eggs/kg_inter_Fem_om","Eggs/kg_slope_wt_Fem_om","RecrDist_GP_1_om","RecrDist_Area_1_om","RecrDist_Seas_1_om","CohortGrowDev_om","SR_LN_R0_om","SR_BH_steep_om","SR_sigmaR_om","SR_envlink_om","SR_R1_offset_om","SR_autocorr_om","InitF_1Fishery_om","LnQ_base_1_Fishery_om","LnQ_base_2_Survey_om","LnQ_base_3_CPUE_om","AgeSel_1P_1_Fishery_om","AgeSel_1P_2_Fishery_om","AgeSel_1P_3_Fishery_om","AgeSel_1P_4_Fishery_om","AgeSel_1P_5_Fishery_om","AgeSel_1P_6_Fishery_om","AgeSel_2P_1_Survey_om","AgeSel_2P_2_Survey_om","AgeSel_2P_3_Survey_om","AgeSel_2P_4_Survey_om","AgeSel_2P_5_Survey_om","AgeSel_2P_6_Survey_om","Catch_endyear_om","NLL_TOTAL_om","NLL_Catch_om","NLL_Equil_catch_om","NLL_Survey_om","NLL_Discard_om","NLL_Mean_body_wt_om","NLL_Length_comp_om","NLL_Age_comp_om","NLL_Size_at_age_om","NLL_SizeFreq_om","NLL_Morphcomp_om","NLL_Tag_comp_om","NLL_Tag_negbin_om","NLL_Recruitment_om","NLL_Forecast_Recruitment_om","NLL_Parm_priors_om","NLL_Parm_softbounds_om","NLL_Parm_devs_om","NLL_Crash_Pen_om","SSB_MSY_em","TotYield_MSY_em","SSB_Unfished_em","depletion_em","params_on_bound_em","NatM_p_1_Fem_GP_1_em","L_at_Amin_Fem_GP_1_em","L_at_Amax_Fem_GP_1_em","VonBert_K_Fem_GP_1_em","CV_young_Fem_GP_1_em","CV_old_Fem_GP_1_em","Wtlen_1_Fem_em","Wtlen_2_Fem_em","Mat50%_Fem_em","Mat_slope_Fem_em","Eggs/kg_inter_Fem_em","Eggs/kg_slope_wt_Fem_em","RecrDist_GP_1_em","RecrDist_Area_1_em","RecrDist_Seas_1_em","CohortGrowDev_em","SR_LN_R0_em","SR_BH_steep_em","SR_sigmaR_em","SR_envlink_em","SR_R1_offset_em","SR_autocorr_em","InitF_1Fishery_em","LnQ_base_1_Fishery_em","LnQ_base_2_Survey_em","LnQ_base_3_CPUE_em","AgeSel_1P_1_Fishery_em","AgeSel_1P_2_Fishery_em","AgeSel_1P_3_Fishery_em","AgeSel_1P_4_Fishery_em","AgeSel_1P_5_Fishery_em","AgeSel_1P_6_Fishery_em","AgeSel_2P_1_Survey_em","AgeSel_2P_2_Survey_em","AgeSel_2P_3_Survey_em","AgeSel_2P_4_Survey_em","AgeSel_2P_5_Survey_em","AgeSel_2P_6_Survey_em","Catch_endyear_em","NLL_TOTAL_em","NLL_Catch_em","NLL_Equil_catch_em","NLL_Survey_em","NLL_Discard_em","NLL_Mean_body_wt_em","NLL_Length_comp_em","NLL_Age_comp_em","NLL_Size_at_age_em","NLL_SizeFreq_em","NLL_Morphcomp_em","NLL_Tag_comp_em","NLL_Tag_negbin_em","NLL_Recruitment_em","NLL_Forecast_Recruitment_em","NLL_Parm_priors_em","NLL_Parm_softbounds_em","NLL_Parm_devs_em","NLL_Crash_Pen_em","bias1","bias2","bias3","bias4","bias5","bias.converged","bias.tried","scenario","replicate","F","D","E","R","X","species","max_grad","version","RunTime","hessian"
1.408e+09,170594000,4082630000,0.454168024043325,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,128595000,11635.8,9.16238e-07,0,-252.573,NA,NA,0.0782981,42.2494,11784.7,NA,NA,NA,NA,61.1375,0,0,0,0,0,1455420000,171798000,3925620000,0.520348378090595,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.619,0.65,0.4,0,0,0,0,0,-0.00831263,0,2.71341,-1,0.0624093,15,-999,-999,2.36384,-1,0.0478305,15,-999,-999,128595000,273.061,1.18714e-17,0,-17.4098,NA,NA,NA,335.534,NA,NA,NA,NA,NA,-45.1373,0,0.0728662,0.00145732,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D2-E0-R0-X2-cow",1,"F0","D2","E0","R0","X2","cow",3.38461e-05,"#V3.24O",NA,FALSE
1.408e+09,170594000,4082630000,0.534246306914905,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,148811000,11629.8,1.0984e-06,0,-252.573,NA,NA,0.0783099,43.8829,11784.4,NA,NA,NA,NA,53.7653,0,0,0,0,0,1594170000,180060000,4418280000,0.632212082529853,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.6877,0.65,0.4,0,0,0,0,0,0.0121563,0,2.70083,-1,-0.0198667,15,-999,-999,2.37915,-1,-0.0708239,15,-999,-999,148811000,251.357,3.63532e-17,0,-13.0079,NA,NA,NA,308.384,NA,NA,NA,NA,NA,-44.0953,0,0.0744701,0.0014894,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D2-E0-R0-X2-cow",2,"F0","D2","E0","R0","X2","cow",4.30668e-05,"#V3.24O",NA,FALSE
1.408e+09,170594000,4082630000,0.449286366876254,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,126631000,11630.4,1.17762e-06,0,-252.573,NA,NA,0.0782743,41.6537,11785.2,NA,NA,NA,NA,55.8427,0,0,0,0,0,1689220000,189523000,4762720000,0.648795226257265,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7637,0.65,0.4,0,0,0,0,0,-0.200338,0,2.84091,-1,0.143648,15,-999,-999,2.3617,-1,-0.093302,15,-999,-999,126631000,297.25,2.24689e-17,0,-13.8065,NA,NA,NA,355.331,NA,NA,NA,NA,NA,-44.3477,0,0.0717379,0.00143476,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D2-E0-R0-X2-cow",3,"F0","D2","E0","R0","X2","cow",0.000130247,"#V3.24O",NA,FALSE
1.408e+09,170594000,4082630000,0.459456281857528,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,131157000,11626,1.10128e-06,0,-252.573,NA,NA,0.0782843,41.7133,11784.4,NA,NA,NA,NA,52.1152,0,0,0,0,0,1534270000,166358000,4674120000,0.486555758089223,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7185,0.65,0.4,0,0,0,0,0,0.0458534,0,2.74172,-1,0.0442702,15,-999,-999,2.41395,-1,0.0230496,15,-999,-999,131157000,283.756,2.72645e-17,0,-14.0584,NA,NA,NA,343.214,NA,NA,NA,NA,NA,-45.4727,0,0.0720417,0.00144083,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D2-E0-R0-X2-cow",4,"F0","D2","E0","R0","X2","cow",8.10119e-05,"#V3.24O",NA,FALSE
1.408e+09,170594000,4082630000,0.58710194164056,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,165782000,11629.2,1.38178e-06,0,-252.573,NA,NA,0.078323,44.1853,11785,NA,NA,NA,NA,52.2571,0,0,0,0,0,1608460000,189503000,4644030000,0.614838836097097,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7168,0.65,0.4,0,0,0,0,0,0.0538309,0,2.65906,-1,-0.139997,15,-999,-999,2.43319,-1,-0.0371201,15,-999,-999,165782000,280.712,2.1191e-17,0,-13.9532,NA,NA,NA,333.828,NA,NA,NA,NA,NA,-39.2394,0,0.0749629,0.00149926,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D2-E0-R0-X2-cow",5,"F0","D2","E0","R0","X2","cow",8.58586e-05,"#V3.24O",NA,FALSE
1.408e+09,170594000,4082630000,0.511038227809035,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,144295000,11618.1,1.03629e-06,0,-252.573,NA,NA,0.0783003,42.7547,11784.6,NA,NA,NA,NA,42.958,0,0,0,0,0,1652330000,176195000,4097410000,0.509570680014936,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.6474,0.65,0.4,0,0,0,0,0,0.0975091,0,2.87019,-1,0.179063,15,-999,-999,2.5063,-1,0.108212,15,-999,-999,144295000,258.367,8.60897e-17,0,-16.2157,NA,NA,NA,322.995,NA,NA,NA,NA,NA,-48.4811,0,0.0671969,0.00134394,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D2-E0-R0-X2-cow",6,"F0","D2","E0","R0","X2","cow",2.10448e-05,"#V3.24O",NA,FALSE
1.408e+09,170594000,4082630000,0.643161393513495,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,180168000,11636.1,1.07274e-06,0,-252.573,NA,NA,0.0783448,45.3458,11784.8,NA,NA,NA,NA,58.162,0,0,0,0,0,1605590000,172219000,4535300000,0.60680660595771,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.6932,0.65,0.4,0,0,0,0,0,-0.0870964,0,2.58377,-1,-0.192895,15,-999,-999,2.43651,-1,-0.00566059,15,-999,-999,180168000,292.45,1.04678e-17,0,-11.34,NA,NA,NA,339.349,NA,NA,NA,NA,NA,-35.637,0,0.0762102,0.0015242,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D2-E0-R0-X2-cow",7,"F0","D2","E0","R0","X2","cow",8.19084e-05,"#V3.24O",NA,FALSE
1.408e+09,170594000,4082630000,0.58423124309575,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,164501000,11621.8,9.17417e-07,0,-252.573,NA,NA,0.0783288,42.8342,11784.6,NA,NA,NA,NA,46.5654,0,0,0,0,0,1798700000,187493000,5208840000,0.612623923944679,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.8493,0.65,0.4,0,0,0,0,0,-0.25507,0,2.61049,-1,-0.19933,15,-999,-999,2.33241,-1,-0.102243,15,-999,-999,164501000,255.728,5.2988e-19,0,-15.7102,NA,NA,NA,323.896,NA,NA,NA,NA,NA,-52.5381,0,0.0783417,0.00156683,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D2-E0-R0-X2-cow",8,"F0","D2","E0","R0","X2","cow",8.05914e-05,"#V3.24O",NA,FALSE
1.408e+09,170594000,4082630000,0.514731925254064,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,146300000,11624.7,1.01558e-06,0,-252.573,NA,NA,0.0783089,42.6479,11784.9,NA,NA,NA,NA,49.3887,0,0,0,0,0,1637330000,176725000,4610710000,0.534147669230986,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7036,0.65,0.4,0,0,0,0,0,0.0302257,0,2.66069,-1,-0.0208666,15,-999,-999,2.45912,-1,0.110678,15,-999,-999,146300000,263.205,5.6963e-18,0,-13.7332,NA,NA,NA,317.826,NA,NA,NA,NA,NA,-40.9615,0,0.0723057,0.00144611,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D2-E0-R0-X2-cow",9,"F0","D2","E0","R0","X2","cow",3.95767e-05,"#V3.24O",NA,FALSE
1.408e+09,170594000,4082630000,0.534481449457825,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,153779000,11630.7,1.42958e-06,0,-252.573,NA,NA,0.0783095,44.6427,11784,NA,NA,NA,NA,54.2586,0,0,0,0,0,1627430000,175450000,4203480000,0.738357265884458,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.6656,0.65,0.4,0,0,0,0,0,-0.204405,0,2.64352,-1,-0.0960886,15,-999,-999,2.40403,-1,0.0202929,15,-999,-999,153779000,263.575,1.64229e-17,0,-16.5507,NA,NA,NA,326.783,NA,NA,NA,NA,NA,-46.733,0,0.0747705,0.00149541,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D2-E0-R0-X2-cow",10,"F0","D2","E0","R0","X2","cow",7.07453e-06,"#V3.24O",NA,FALSE
1.408e+09,170594000,4082630000,0.545814830146254,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,154270000,11617.4,1.1386e-06,0,-252.573,NA,NA,0.0783164,42.6828,11784.2,NA,NA,NA,NA,42.7618,0,0,0,0,0,1644380000,192788000,4188910000,0.696283758782118,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.6967,0.65,0.4,0,0,0,0,0,-0.0629753,0,2.62113,-1,-0.139992,15,-999,-999,2.34493,-1,-0.100115,15,-999,-999,154270000,273.968,5.00505e-17,0,-19.1813,NA,NA,NA,339.279,NA,NA,NA,NA,NA,-46.2088,0,0.077435,0.0015487,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D2-E0-R0-X2-cow",11,"F0","D2","E0","R0","X2","cow",9.52693e-05,"#V3.24O",NA,FALSE
1.408e+09,170594000,4082630000,0.681582705265968,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,192638000,11635.5,1.00868e-06,0,-252.573,NA,NA,0.078353,44.8521,11784.9,NA,NA,NA,NA,57.9527,0,0,0,0,0,1682190000,175369000,4817280000,0.562414889730304,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7423,0.65,0.4,0,0,0,0,0,0.0260185,0,2.6237,-1,-0.162362,15,-999,-999,2.50624,-1,0.18754,15,-999,-999,192638000,283.448,3.83369e-17,0,-15.387,NA,NA,NA,342.188,NA,NA,NA,NA,NA,-43.4274,0,0.0727572,0.00145514,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D2-E0-R0-X2-cow",12,"F0","D2","E0","R0","X2","cow",2.33727e-05,"#V3.24O",NA,FALSE
1.408e+09,170594000,4082630000,0.510178487886485,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,143909000,11620.6,9.04877e-07,0,-252.573,NA,NA,0.0783016,43.2236,11783.6,NA,NA,NA,NA,46.0246,0,0,0,0,0,1838190000,196277000,4585590000,0.654452316931954,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7816,0.65,0.4,0,0,0,0,0,-0.154489,0,2.55899,-1,-0.174127,15,-999,-999,2.37986,-1,0.0620391,15,-999,-999,143909000,272.578,2.09721e-17,0,-19.6176,NA,NA,NA,338.754,NA,NA,NA,NA,NA,-46.6368,0,0.0767331,0.00153466,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D2-E0-R0-X2-cow",13,"F0","D2","E0","R0","X2","cow",0.000149686,"#V3.24O",NA,FALSE
1.408e+09,170594000,4082630000,0.534912544119844,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,150397000,11611.7,9.47108e-07,0,-252.573,NA,NA,0.0783056,42.5413,11784,NA,NA,NA,NA,37.3791,0,0,0,0,0,1787680000,193383000,5007340000,0.52197773668255,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7928,0.65,0.4,0,0,0,0,0,-0.134056,0,2.67402,-1,0.0408785,15,-999,-999,2.16255,-1,-0.289753,15,-999,-999,150397000,268.647,5.659e-17,0,-18.3111,NA,NA,NA,335.174,NA,NA,NA,NA,NA,-48.2969,0,0.0799682,0.00159936,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D2-E0-R0-X2-cow",14,"F0","D2","E0","R0","X2","cow",0.000315088,"#V3.24O",NA,FALSE
