"SSB_MSY_om","TotYield_MSY_om","SSB_Unfished_om","depletion_om","params_on_bound_om","NatM_p_1_Fem_GP_1_om","L_at_Amin_Fem_GP_1_om","L_at_Amax_Fem_GP_1_om","VonBert_K_Fem_GP_1_om","CV_young_Fem_GP_1_om","CV_old_Fem_GP_1_om","Wtlen_1_Fem_om","Wtlen_2_Fem_om","Mat50%_Fem_om","Mat_slope_Fem_om","Eggs/kg_inter_Fem_om","Eggs/kg_slope_wt_Fem_om","RecrDist_GP_1_om","RecrDist_Area_1_om","RecrDist_Seas_1_om","CohortGrowDev_om","SR_LN_R0_om","SR_BH_steep_om","SR_sigmaR_om","SR_envlink_om","SR_R1_offset_om","SR_autocorr_om","InitF_1Fishery_om","LnQ_base_1_Fishery_om","LnQ_base_2_Survey_om","LnQ_base_3_CPUE_om","AgeSel_1P_1_Fishery_om","AgeSel_1P_2_Fishery_om","AgeSel_1P_3_Fishery_om","AgeSel_1P_4_Fishery_om","AgeSel_1P_5_Fishery_om","AgeSel_1P_6_Fishery_om","AgeSel_2P_1_Survey_om","AgeSel_2P_2_Survey_om","AgeSel_2P_3_Survey_om","AgeSel_2P_4_Survey_om","AgeSel_2P_5_Survey_om","AgeSel_2P_6_Survey_om","Catch_endyear_om","NLL_TOTAL_om","NLL_Catch_om","NLL_Equil_catch_om","NLL_Survey_om","NLL_Discard_om","NLL_Mean_body_wt_om","NLL_Length_comp_om","NLL_Age_comp_om","NLL_Size_at_age_om","NLL_SizeFreq_om","NLL_Morphcomp_om","NLL_Tag_comp_om","NLL_Tag_negbin_om","NLL_Recruitment_om","NLL_Forecast_Recruitment_om","NLL_Parm_priors_om","NLL_Parm_softbounds_om","NLL_Parm_devs_om","NLL_Crash_Pen_om","SSB_MSY_em","TotYield_MSY_em","SSB_Unfished_em","depletion_em","params_on_bound_em","NatM_p_1_Fem_GP_1_em","L_at_Amin_Fem_GP_1_em","L_at_Amax_Fem_GP_1_em","VonBert_K_Fem_GP_1_em","CV_young_Fem_GP_1_em","CV_old_Fem_GP_1_em","Wtlen_1_Fem_em","Wtlen_2_Fem_em","Mat50%_Fem_em","Mat_slope_Fem_em","Eggs/kg_inter_Fem_em","Eggs/kg_slope_wt_Fem_em","RecrDist_GP_1_em","RecrDist_Area_1_em","RecrDist_Seas_1_em","CohortGrowDev_em","SR_LN_R0_em","SR_BH_steep_em","SR_sigmaR_em","SR_envlink_em","SR_R1_offset_em","SR_autocorr_em","InitF_1Fishery_em","LnQ_base_1_Fishery_em","LnQ_base_2_Survey_em","LnQ_base_3_CPUE_em","AgeSel_1P_1_Fishery_em","AgeSel_1P_2_Fishery_em","AgeSel_1P_3_Fishery_em","AgeSel_1P_4_Fishery_em","AgeSel_1P_5_Fishery_em","AgeSel_1P_6_Fishery_em","AgeSel_2P_1_Survey_em","AgeSel_2P_2_Survey_em","AgeSel_2P_3_Survey_em","AgeSel_2P_4_Survey_em","AgeSel_2P_5_Survey_em","AgeSel_2P_6_Survey_em","Catch_endyear_em","NLL_TOTAL_em","NLL_Catch_em","NLL_Equil_catch_em","NLL_Survey_em","NLL_Discard_em","NLL_Mean_body_wt_em","NLL_Length_comp_em","NLL_Age_comp_em","NLL_Size_at_age_em","NLL_SizeFreq_em","NLL_Morphcomp_em","NLL_Tag_comp_em","NLL_Tag_negbin_em","NLL_Recruitment_em","NLL_Forecast_Recruitment_em","NLL_Parm_priors_em","NLL_Parm_softbounds_em","NLL_Parm_devs_em","NLL_Crash_Pen_em","bias1","bias2","bias3","bias4","bias5","bias.converged","bias.tried","scenario","replicate","F","D","E","R","X","species","max_grad","version","RunTime","hessian"
1.408e+09,170594000,4082630000,0.454168024043325,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,128595000,11805.8,9.16238e-07,0,-252.573,NA,NA,0.0782981,212.242,11784.7,NA,NA,NA,NA,61.1375,0,0,0,0,0,1473870000,162331000,4248510000,0.729895892913045,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.6502,0.65,0.4,0,0,0,0,0,-0.281314,0,2.703,-1,0.00184034,15,-999,-999,2.39981,-1,0.00978454,15,-999,-999,128595000,2275.24,3.47776e-18,0,-15.3681,NA,NA,NA,2303.09,NA,NA,NA,NA,NA,-12.5596,0,0.0732534,0.00146507,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",1.48986,"#V3.24O",NA,FALSE
1.408e+09,170594000,4082630000,0.534246306914905,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,148811000,11800.2,1.0984e-06,0,-252.573,NA,NA,0.0783099,214.297,11784.4,NA,NA,NA,NA,53.7653,0,0,0,0,0,1597790000,172530000,4346720000,0.600047852173593,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.6759,0.65,0.4,0,0,0,0,0,0.0331909,0,2.69034,-1,-0.00876624,15,-999,-999,2.3909,-1,-0.00701177,15,-999,-999,148811000,2260.54,5.97581e-18,0,-14.0191,NA,NA,NA,2295.19,NA,NA,NA,NA,NA,-20.708,0,0.0737974,0.00147595,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D0-E0-R0-X0-cow",2,"F0","D0","E0","R0","X0","cow",0.136054,"#V3.24O",NA,FALSE
1.408e+09,170594000,4082630000,0.449286366876254,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,126631000,11800.8,1.17762e-06,0,-252.573,NA,NA,0.0782743,212.038,11785.2,NA,NA,NA,NA,55.8427,0,0,0,0,0,1566400000,167798000,4355160000,0.499947189081457,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.6657,0.65,0.4,0,0,0,0,0,-0.0191496,0,2.71095,-1,0.0106743,15,-999,-999,2.40132,-1,0.0018323,15,-999,-999,126631000,2297.79,7.17227e-18,0,-12.8266,NA,NA,NA,2328.41,NA,NA,NA,NA,NA,-17.8724,0,0.0731123,0.00146225,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D0-E0-R0-X0-cow",3,"F0","D0","E0","R0","X0","cow",0.174964,"#V3.24O",NA,FALSE
1.408e+09,170594000,4082630000,0.459456281857528,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,131157000,11795.4,1.10128e-06,0,-252.573,NA,NA,0.0782843,211.146,11784.4,NA,NA,NA,NA,52.1152,0,0,0,0,0,1624510000,179401000,4402010000,0.586634287518656,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.704,0.65,0.4,0,0,0,0,0,-0.0571723,0,2.68423,-1,-0.0246801,15,-999,-999,2.40406,-1,0.0148859,15,-999,-999,131157000,2273.13,4.15811e-18,0,-15.0119,NA,NA,NA,2312.03,NA,NA,NA,NA,NA,-23.9617,0,0.0736283,0.00147257,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D0-E0-R0-X0-cow",4,"F0","D0","E0","R0","X0","cow",0.278945,"#V3.24O",NA,FALSE
1.408e+09,170594000,4082630000,0.58710194164056,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,165782000,11798.6,1.38178e-06,0,-252.573,NA,NA,0.078323,213.659,11785,NA,NA,NA,NA,52.2571,0,0,0,0,0,1591160000,175327000,4539990000,0.750360683613841,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7134,0.65,0.4,0,0,0,0,0,-0.10381,0,2.68152,-1,-0.0234469,15,-999,-999,2.42086,-1,0.0358429,15,-999,-999,165782000,2404.8,5.56496e-18,0,-15.6708,NA,NA,NA,2441.78,NA,NA,NA,NA,NA,-21.3804,0,0.0732225,0.00146445,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D0-E0-R0-X0-cow",5,"F0","D0","E0","R0","X0","cow",0.050469,"#V3.24O",NA,FALSE
1.408e+09,170594000,4082630000,0.511038227809035,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,144295000,11787,1.03629e-06,0,-252.573,NA,NA,0.0783003,211.614,11784.6,NA,NA,NA,NA,42.958,0,0,0,0,0,1584050000,173600000,4435770000,0.443131632163074,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.6805,0.65,0.4,0,0,0,0,0,0.0533592,0,2.7174,-1,0.0225813,15,-999,-999,2.42423,-1,0.0206747,15,-999,-999,144295000,2254.74,1.75786e-17,0,-16.1995,NA,NA,NA,2301.95,NA,NA,NA,NA,NA,-31.0868,0,0.0724134,0.00144827,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D0-E0-R0-X0-cow",6,"F0","D0","E0","R0","X0","cow",0.09322,"#V3.24O",NA,FALSE
1.408e+09,170594000,4082630000,0.643161393513495,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,180168000,11807.8,1.07274e-06,0,-252.573,NA,NA,0.0783448,217.062,11784.8,NA,NA,NA,NA,58.162,0,0,0,0,0,1594860000,170852000,4307570000,0.819715059766876,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.6655,0.65,0.4,0,0,0,0,0,-0.212997,0,2.69986,-1,-0.0013129,15,-999,-999,2.42943,-1,0.0475681,15,-999,-999,180168000,2310.15,5.26581e-18,0,-10.3869,NA,NA,NA,2335.74,NA,NA,NA,NA,NA,-15.2821,0,0.0725533,0.00145107,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D0-E0-R0-X0-cow",7,"F0","D0","E0","R0","X0","cow",0.38468,"#V3.24O",NA,FALSE
1.408e+09,170594000,4082630000,0.58423124309575,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,164501000,11793.7,9.17417e-07,0,-252.573,NA,NA,0.0783288,214.759,11784.6,NA,NA,NA,NA,46.5654,0,0,0,0,0,1571290000,170175000,4390330000,0.61958440481695,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.6828,0.65,0.4,0,0,0,0,0,-0.103433,0,2.71109,-1,0.0121212,15,-999,-999,2.41397,-1,0.014162,15,-999,-999,164501000,2207.03,7.96233e-18,0,-15.4806,NA,NA,NA,2248.47,NA,NA,NA,NA,NA,-26.03,0,0.0727994,0.00145599,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D0-E0-R0-X0-cow",8,"F0","D0","E0","R0","X0","cow",0.0667358,"#V3.24O",NA,FALSE
1.408e+09,170594000,4082630000,0.514731925254064,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,146300000,11794.7,1.01558e-06,0,-252.573,NA,NA,0.0783089,212.697,11784.9,NA,NA,NA,NA,49.3887,0,0,0,0,0,1547820000,172565000,4390750000,0.648310653077492,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.6958,0.65,0.4,0,0,0,0,0,-0.101282,0,2.7029,-1,0.0102395,15,-999,-999,2.37701,-1,-0.0345923,15,-999,-999,146300000,2232.82,5.78333e-18,0,-14.1691,NA,NA,NA,2271.67,NA,NA,NA,NA,NA,-24.7503,0,0.0739153,0.00147831,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D0-E0-R0-X0-cow",9,"F0","D0","E0","R0","X0","cow",0.0270652,"#V3.24O",NA,FALSE
1.408e+09,170594000,4082630000,0.534481449457825,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,153779000,11797.6,1.42958e-06,0,-252.573,NA,NA,0.0783095,211.587,11784,NA,NA,NA,NA,54.2586,0,0,0,0,0,1539990000,170026000,4317210000,0.856370202051788,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.6678,0.65,0.4,0,0,0,0,0,-0.294056,0,2.70489,-1,0.00225578,15,-999,-999,2.39274,-1,-0.0205815,15,-999,-999,153779000,2294.97,3.63534e-18,0,-17.1681,NA,NA,NA,2333.58,NA,NA,NA,NA,NA,-21.5106,0,0.073588,0.00147176,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D0-E0-R0-X0-cow",10,"F0","D0","E0","R0","X0","cow",0.226473,"#V3.24O",NA,FALSE
